Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
The Next Episode;Dr. Dre, Snoop Dogg;2;1999;1;1;31762;843;95
Apocalypse;Cigarettes After Sex;1;2017;3;21;13091;842;94
Apocalypse;Cigarettes After Sex;1;2017;3;21;13091;842;94
Dream On;Aerosmith;1;1973;1;5;168;839;80
Dream On;Aerosmith;1;1973;1;5;168;839;80
Bones;Imagine Dragons;1;2021;3;11;4198;838;114
Bones;Imagine Dragons;1;2021;3;11;4198;838;114
Santa Tell Me;Ariana Grande;1;2013;12;13;9408;834;133
Santa Tell Me;Ariana Grande;1;2013;12;13;9408;834;133
Good Days;SZA;1;2020;12;24;10426;827;121
Good Days;SZA;1;2020;12;24;10426;827;121
Freaks;Surf Curse;1;2015;5;10;3006;824;180
Bad Habit;Steve Lacy;1;2022;6;29;8186;823;169
Bad Habit;Steve Lacy;1;2022;6;29;8186;823;169
Lost;Frank Ocean;1;2012;1;1;29499;822;123
cardigan;Taylor Swift;1;2020;7;24;7923;812;130
cardigan;Taylor Swift;1;2020;7;24;7923;812;130
Desesperados;Chencho Corleone, Rauw Alejandro;2;2021;6;25;6821;809;90
Desesperados;Chencho Corleone, Rauw Alejandro;2;2021;6;25;6821;809;90
It s Beginning To Look A Lot Like Christmas;Michael Bubl?;1;2011;10;14;12353;808;93
It s Beginning To Look A Lot Like Christmas;Michael Bubl?;1;2011;10;14;12353;808;93
Golden;Harry Styles;1;2019;12;13;8429;807;140
Pink + White;Frank Ocean;1;2016;8;20;21574;806;160
Pink + White;Frank Ocean;1;2016;8;20;21574;806;160
Cruel Summer;Taylor Swift;1;2019;8;23;7858;801;170
Cruel Summer;Taylor Swift;1;2019;8;23;7858;801;170
Cruel Summer;Taylor Swift;1;2019;8;23;7858;801;170
Cruel Summer;Taylor Swift;1;2019;8;23;7858;801;170
Levitating;Dua Lipa;1;2020;3;27;9833;797;103
RAPSTAR;Polo G;1;2021;4;9;4731;797;81
Space Song;Beach House;1;2015;1;1;17852;790;147
Space Song;Beach House;1;2015;1;1;17852;790;147
